University,Country,City,Global_Rank
Université des Sciences et de la Technologie Houari Boumediène,Algeria,Algiers,3677
Université Benyoucef Benkhedda d’Alger 1,Algeria,Algiers,4919
École Nationale Supérieure d’Informatique,Algeria,Algiers,6297
École Nationale Polytechnique,Algeria,Algiers,6411
Université Abou el Kacem Saâdallah d’Alger 2,Algeria,Algiers,6421
Université Brahim Soltane Chaibout d’Alger 3,Algeria,Algiers,6746
École Nationale Supérieure Agronomique,Algeria,Algiers,7790
École Nationale Supérieure des Travaux Publics,Algeria,Algiers,8320
École Nationale d’Administration Moulay Ahmed Medeghri,Algeria,Algiers,8453
École Normale Supérieure de Bouzaréah,Algeria,Algiers,8818
École Supérieure de Commerce,Algeria,Algiers,8995
École Polytehnique d’Architecture et d’Urbanisme,Algeria,Algiers,9206
École Nationale Supérieure en Statistique et en Economie Appliquée,Algeria,Algiers,9259
École Nationale Supérieure Vétérinaire d’Alger,Algeria,Algiers,9322
École Nationale Supérieure de Technologie,Algeria,Algiers,9362
École Normale Supérieure de Kouba,Algeria,Algiers,9608
École Nationale Supérieure des Sciences de la Mer et de l’Aménagement du Littoral,Algeria,Algiers,9676
École des Hautes Etudes Commerciales,Algeria,Algiers,9951
École Nationale Supérieure de Sciences Politiques,Algeria,Algiers,10403
École Nationale Supérieure de Journalisme et des Sciences de l’Information,Algeria,Algiers,10541
École Supérieure de la Magistrature,Algeria,Algiers,10635
École Supérieure des Sciences de l’Aliment et Industries Agroalimentaires,Algeria,Algiers,11087
École Supérieure des Sciences Appliquées d’Alger,Algeria,Algiers,11141
Université Badji Mokhtar de Annaba,Algeria,Annaba,5758
École Supérieure des Sciences de Gestion de Annaba,Algeria,Annaba,10685
École Nationale Supérieure des Mines et de la Métallurgie,Algeria,Annaba,10701
École Supérieure de Technologies Industrielles d’Annaba,Algeria,Annaba,11062
Université Hadj Lakhder de Batna 1,Algeria,Batna,5189
Université de Batna 2,Algeria,Batna,5610
Université Tahri Mohammed de Béchar,Algeria,Bechar,8597
École Normale Supérieure de Béchar,Algeria,Bechar,12068
Université Saad Dahlab de Blida 1,Algeria,Blida,5919
École Nationale Supérieure d’Hydraulique,Algeria,Blida,8034
Université Lounici Ali de Blida 2,Algeria,Blida,8073
Université Frères Mentouri de Constantine 1,Algeria,Constantine,4121
Université Abdelhamid Mehri de Constantine 2,Algeria,Constantine,6853
Université Salah Boubnider de Constantine 3,Algeria,Constantine,6900
Université des Sciences Islamiques Emir Abdelkader,Algeria,Constantine,8556
École Normale Supérieure de Constantine,Algeria,Constantine,8735
